2014-02-06 17:11:37,727 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'doajdpf6pzwzd3fhas4iyd0g782333wz'  AND `django_session`.`expire_date` > '2014-02-06 22:11:37' ); args=('doajdpf6pzwzd3fhas4iyd0g782333wz', u'2014-02-06 22:11:37')
2014-02-06 17:11:37,744 [DEBUG] django.db.backends: (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
2014-02-06 17:11:37,764 [DEBUG] django.db.backends: (0.020) SELECT `zinnia_entry`.`id`, `zinnia_entry`.`title`, `zinnia_entry`.`slug`, `zinnia_entry`.`status`, `zinnia_entry`.`start_publication`, `zinnia_entry`.`end_publication`, `zinnia_entry`.`creation_date`, `zinnia_entry`.`last_update`, `zinnia_entry`.`content`, `zinnia_entry`.`comment_enabled`, `zinnia_entry`.`pingback_enabled`, `zinnia_entry`.`trackback_enabled`, `zinnia_entry`.`comment_count`, `zinnia_entry`.`pingback_count`, `zinnia_entry`.`trackback_count`, `zinnia_entry`.`excerpt`, `zinnia_entry`.`image`, `zinnia_entry`.`featured`, `zinnia_entry`.`tags`, `zinnia_entry`.`login_required`, `zinnia_entry`.`password`, `zinnia_entry`.`content_template`, `zinnia_entry`.`detail_template` FROM `zinnia_entry` INNER JOIN `zinnia_entry_authorized_users` ON (`zinnia_entry`.`id` = `zinnia_entry_authorized_users`.`entry_id`) WHERE `zinnia_entry_authorized_users`.`user_id` = 1  ORDER BY `zinnia_entry`.`creation_date` DESC; args=(1,)
2014-02-06 17:11:37,766 [DEBUG] django.db.backends: (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` INNER JOIN `zinnia_entry_authorized_users` ON (`auth_user`.`id` = `zinnia_entry_authorized_users`.`user_id`) WHERE `zinnia_entry_authorized_users`.`entry_id` = 17 ; args=(17,)
2014-02-06 17:11:37,768 [DEBUG] django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` INNER JOIN `zinnia_entry_authorized_users` ON (`auth_user`.`id` = `zinnia_entry_authorized_users`.`user_id`) WHERE `zinnia_entry_authorized_users`.`entry_id` = 14 ; args=(14,)
2014-02-06 17:11:37,771 [DEBUG] django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` INNER JOIN `zinnia_entry_authorized_users` ON (`auth_user`.`id` = `zinnia_entry_authorized_users`.`user_id`) WHERE `zinnia_entry_authorized_users`.`entry_id` = 12 ; args=(12,)
2014-02-06 17:11:37,772 [DEBUG] django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` INNER JOIN `zinnia_entry_authorized_users` ON (`auth_user`.`id` = `zinnia_entry_authorized_users`.`user_id`) WHERE `zinnia_entry_authorized_users`.`entry_id` = 7 ; args=(7,)
2014-02-06 17:11:37,775 [DEBUG] django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` INNER JOIN `zinnia_entry_authorized_users` ON (`auth_user`.`id` = `zinnia_entry_authorized_users`.`user_id`) WHERE `zinnia_entry_authorized_users`.`entry_id` = 6 ; args=(6,)
2014-02-06 17:11:37,779 [DEBUG] django.db.backends: (0.002) SELECT `zinnia_entry`.`id`, `zinnia_entry`.`title`, `zinnia_entry`.`slug`, `zinnia_entry`.`status`, `zinnia_entry`.`start_publication`, `zinnia_entry`.`end_publication`, `zinnia_entry`.`creation_date`, `zinnia_entry`.`last_update`, `zinnia_entry`.`content`, `zinnia_entry`.`comment_enabled`, `zinnia_entry`.`pingback_enabled`, `zinnia_entry`.`trackback_enabled`, `zinnia_entry`.`comment_count`, `zinnia_entry`.`pingback_count`, `zinnia_entry`.`trackback_count`, `zinnia_entry`.`excerpt`, `zinnia_entry`.`image`, `zinnia_entry`.`featured`, `zinnia_entry`.`tags`, `zinnia_entry`.`login_required`, `zinnia_entry`.`password`, `zinnia_entry`.`content_template`, `zinnia_entry`.`detail_template` FROM `zinnia_entry` LEFT OUTER JOIN `zinnia_entry_authorized_users` ON (`zinnia_entry`.`id` = `zinnia_entry_authorized_users`.`entry_id`) WHERE (`zinnia_entry_authorized_users`.`user_id` = 1  OR `zinnia_entry`.`status` = 2 ) ORDER BY `zinnia_entry`.`creation_date` DESC; args=(1, 2)
2014-02-06 17:11:37,782 [DEBUG] django.db.backends: (0.000) SELECT `brabeion_badgeaward`.`id`, `brabeion_badgeaward`.`user_id`, `brabeion_badgeaward`.`awarded_at`, `brabeion_badgeaward`.`slug`, `brabeion_badgeaward`.`level`, `brabeion_badgeaward`.`entry_id` FROM `brabeion_badgeaward` WHERE `brabeion_badgeaward`.`user_id` = 1 ; args=(1,)
2014-02-06 17:11:39,612 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'doajdpf6pzwzd3fhas4iyd0g782333wz'  AND `django_session`.`expire_date` > '2014-02-06 22:11:39' ); args=('doajdpf6pzwzd3fhas4iyd0g782333wz', u'2014-02-06 22:11:39')
